Details,Accession,Release_Date,Species,Length,Genotype,Geo_Location,Host,Isolation_Source,Collection_Date,BioSample
"",LR757996,2020-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29868,,,,,,SAMEA6507892
"",LR757995,2020-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29872,,,,,,SAMEA6507893
"",LR757998,2020-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29866,,,,,,SAMEA6507890
"",MN988668,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29881,,China,Homo sapiens,,2020-01-02,
"",MN988669,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29881,,China,Homo sapiens,,2020-01-02,
"",MN908947,2020-01-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,,China,Homo sapiens,,2019-12,
"",MT019529,2020-02-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29899,,China,Homo sapiens,lung,2019-12-23,
"",MT020781,2020-02-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29847,,Finland,Homo sapiens,,2020-01-29,
"",MN996530,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29854,,China,Homo sapiens,lung,2019-12-30,
"",MN996528,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29891,,China,Homo sapiens,lung,2019-12-30,
"",MN996529,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29852,,China,Homo sapiens,lung,2019-12-30,
"",MN996531,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29857,,China,Homo sapiens,lung,2019-12-30,
"",MN994467,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,,USA,Homo sapiens,oronasopharynx,2020-01-23,
"",MN994468,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29883,,USA,Homo sapiens,oronasopharynx,2020-01-22,
"",MN997409,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,,USA,Homo sapiens,feces,2020-01-22,
"",MN996527,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29825,,China,Homo sapiens,lung,2019-12-30,
"",MT019531,2020-02-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29899,,China,Homo sapiens,lung,2019-12-30,
"",MT019530,2020-02-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29889,,China,Homo sapiens,lung,2019-12-30,
"",MT019533,2020-02-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29883,,China,Homo sapiens,lung,2020-01-01,
"",MT019532,2020-02-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29890,,China,Homo sapiens,lung,2019-12-30,
"",MT020881,2020-02-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,,USA,Homo sapiens,oronasopharynx,2020-01-25,
"",MT020880,2020-02-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,,USA,Homo sapiens,oronasopharynx,2020-01-25,
"",MT007544,2020-01-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29893,,Australia,Homo sapiens,,2020-01-25,
"",MN938384,2020-01-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29838,,China,Homo sapiens,oronasopharynx,2020-01-10,
"",MN985325,2020-01-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,,USA,Homo sapiens,oronasopharynx,2020-01-19,
"",MN975262,2020-01-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29891,,China,Homo sapiens,"lung, oronasopharynx",2020-01-11,
"",NC_045512,2020-01-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,,China,Homo sapiens,,2019-12,
"",MN988713,2020-01-25T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,,USA,Homo sapiens,"lung, oronasopharynx",2020-01-21,
